@relation InstanceResultListener

@attribute Key_Dataset {'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 2 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 4 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 6 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 8 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 10 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 12 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 14 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 8 -K 16 -M 1.0 -V 0.001 -S 1'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1328,8,0,99.401198,0.598802,0,0.988024,0.00898,0.069906,1.796073,13.981269,1336.000007,1102.08073,233.919277,1,0.824911,0.175089,1313.847364,0.983419,98.341868,0.992515,663,0.004491,3,0.995509,665,0.007485,5,0.995495,0.992515,0.994003,0.988028,0.999089,0.999124,0.994012,0.005988,0.994012,0.005988,0.994016,0.994012,0.994012,0.988028,0.999089,0.998714,0.994012,0.994012,0.644,0.084,0,0.078125,0,78.125,1235570,3141294,351987,99.92515,51.347305,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1326,10,0,99.251497,0.748503,0,0.98503,0.011692,0.0857,2.338364,17.140004,1336.000007,5400.526956,-4064.52695,1,4.042311,-3.042311,1307.182309,0.97843,97.842987,0.994012,664,0.008982,6,0.991018,662,0.005988,4,0.991045,0.994012,0.992526,0.985034,0.995614,0.992281,0.992515,0.007485,0.992515,0.007485,0.992519,0.992515,0.992515,0.985034,0.995614,0.993717,0.992515,0.992515,0.436,0.037,0.015625,0.046875,15.625,46.875,1177524,3141294,351987,99.476048,51.347305,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1331,5,0,99.625749,0.374251,0,0.992515,0.008219,0.058104,1.643802,11.620866,1336.000007,1093.438349,242.561657,1,0.818442,0.181558,1316.494027,0.9854,98.539972,1,668,0.007485,5,0.992515,663,0,0,0.992571,1,0.996271,0.992543,0.999127,0.998292,0.996257,0.003743,0.996257,0.003743,0.996285,0.996257,0.996257,0.992543,0.999127,0.998751,0.996257,0.996257,0.505,0.045,0.015625,0.046875,15.625,46.875,1267839,3141294,351987,99.92515,51.422156,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1333,3,0,99.775449,0.224551,0,0.995509,0.007271,0.045813,1.454149,9.162653,1336.000007,17.177129,1318.822878,1,0.012857,0.987143,1319.257996,0.987469,98.746855,0.997006,666,0.001497,1,0.998503,667,0.002994,2,0.998501,0.997006,0.997753,0.99551,0.99999,0.999989,0.997754,0.002246,0.997754,0.002246,0.997756,0.997754,0.997754,0.99551,0.99999,0.999989,0.997754,0.997754,0.481,0.035,0,0.03125,0,31.25,1308351,3141294,351987,100,51.384731,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1330,6,0,99.550898,0.449102,0,0.991018,0.010207,0.065291,2.041371,13.058289,1336.000007,29.095286,1306.904721,1,0.021778,0.978222,1311.392365,0.981581,98.158111,0.998503,667,0.007485,5,0.992515,663,0.001497,1,0.99256,0.998503,0.995522,0.991036,0.999903,0.999901,0.995509,0.004491,0.995509,0.004491,0.995527,0.995509,0.995509,0.991036,0.999903,0.999902,0.995509,0.995509,0.454,0.044,0,0.046875,0,46.875,1263581,3141294,351987,99.92515,51.571856,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1329,7,0,99.476048,0.523952,0,0.989521,0.008168,0.063552,1.633655,12.71047,1336.000007,2168.168166,-832.168159,1,1.62288,-0.62288,1316.390147,0.985322,98.532196,0.994012,664,0.004491,3,0.995509,665,0.005988,4,0.995502,0.994012,0.994757,0.989522,0.998296,0.996661,0.99476,0.00524,0.99476,0.00524,0.994762,0.99476,0.99476,0.989522,0.998296,0.997544,0.99476,0.99476,0.497,0.053,0,0.046875,0,46.875,1244494,3141294,351987,99.775449,51.197605,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1332,4,0,99.700599,0.299401,0,0.994012,0.008429,0.053317,1.685853,10.663438,1336.000007,1091.782419,244.217588,1,0.817202,0.182798,1316.46125,0.985375,98.537518,0.994012,664,0,0,1,668,0.005988,4,1,0.994012,0.996997,0.99403,0.999204,0.999245,0.997006,0.002994,0.997006,0.002994,0.997024,0.997006,0.997006,0.99403,0.999204,0.99883,0.997006,0.997006,0.464,0.037,0.015625,0.03125,15.625,31.25,1281453,3141294,351987,99.92515,51.721557,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1326,10,0,99.251497,0.748503,0,0.98503,0.010638,0.075905,2.127639,15.18103,1336.000007,2177.470069,-841.470062,1,1.629843,-0.629843,1309.68985,0.980307,98.030677,0.988024,660,0.002994,2,0.997006,666,0.011976,8,0.996979,0.988024,0.992481,0.98507,0.998243,0.997434,0.992515,0.007485,0.992515,0.007485,0.992555,0.992515,0.992515,0.98507,0.998243,0.997486,0.992515,0.992515,0.426,0.082,0,0.046875,0,46.875,1207622,3141294,351987,99.775449,51.459581,?,-1
'flows-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1-weka.filters.unsupervised.attribute.Remove-R25-61-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1-weka.filters.unsupervised.attribute.Remove-R65-weka.filters.unsupervised.attribute.Remove-R41,60,38,55,43,49,48,52,6,47,46,64,58,53,5,45,30,35,42,50,34,31,57,39,37,44,51,40,25,54,27,61,63,56,26,32',1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190831.1605,12023,1336,1332,4,0,99.700599,0.299401,0,0.994012,0.007388,0.057152,1.477579,11.430385,1336.000007,1092.343959,243.656048,1,0.817623,0.182377,1318.232798,0.986701,98.670119,1,668,0.005988,4,0.994012,664,0,0,0.994048,1,0.997015,0.99403,0.999134,0.998314,0.997006,0.002994,0.997006,0.002994,0.997024,0.997006,0.997006,0.99403,0.999134,0.998758,0.997006,0.997006,0.472,0.034,0.015625,0.03125,15.625,31.25,1245838,3141294,351987,99.92515,51.085329,?,-1
